26	64	1	1627320810
26	66	1	1627322158
26	68	1	1627322160
26	37	1	1627322725
26	33	1	1627322728
26	71	1	1627323822
26	60	1	1627323824
26	59	1	1627336224
8	66	1	1627422889
8	68	1	1627422972
10	68	1	1627424599
26	62	1	1627426636
8	22	1	1627427545
6	62	1	1627431532
12	62	1	1627431532
8	34	1	1627513102
8	89	1	1627513468
8	88	1	1627513492
8	82	1	1627513519
8	85	1	1627513549
8	86	1	1627513571
8	83	1	1627513589
8	96	1	1627513971
8	31	1	1627514034
35	34	1	1627514673
6	86	1	1627521216
12	86	1	1627521216
6	102	1	1627593099
12	102	1	1627593099
35	86	1	1627756580
35	68	1	1627764853
35	105	1	1627837497
35	107	1	1627839121
35	109	1	1627839411
35	111	1	1627839557
35	113	1	1627839895
35	115	1	1627840091
35	117	1	1627840409
26	104	1	1627845437
26	52	1	1627846035
26	53	1	1627846440
26	113	1	1627846929
26	105	1	1627846945
26	107	1	1627846975
8	122	1	1627850379
8	139	1	1627850421
8	138	1	1627850492
8	137	1	1627850521
8	136	1	1627850588
8	135	1	1627850676
8	134	1	1627850721
8	133	1	1627850865
8	132	1	1627850935
8	131	1	1627850965
8	130	1	1627851019
8	129	1	1627851127
8	128	1	1627851235
8	127	1	1627851426
8	126	1	1627851554
8	125	1	1627851772
8	123	1	1627851919
35	125	1	1627851942
8	124	1	1627851994
8	140	1	1627852060
35	126	1	1627852074
26	126	1	1627852409
35	160	1	1627853214
35	71	1	1627853972
35	123	1	1627854013
35	128	1	1627854095
36	123	1	1627925706
6	160	1	1627945734
12	160	1	1627945734
6	140	1	1627948474
12	140	1	1627948474
8	162	1	1627988355
8	160	1	1627988377
8	163	1	1628029322
35	140	1	1628029951
26	4	1	1628036735
26	140	1	1628039686
35	124	1	1628108962
26	124	1	1628115369
26	123	1	1628120818
26	125	1	1628120838
26	127	1	1628122858
10	102	1	1628194622
10	122	1	1628194874
